,precision,recall,f1-score,support
cloudy,1.0,1.0,1.0,300.0
desert,1.0,1.0,1.0,227.0
green_area,0.9866220735785953,0.9833333333333333,0.9849749582637729,300.0
water,0.9833887043189369,0.9866666666666667,0.9850249584026622,300.0
accuracy,0.9920141969831411,0.9920141969831411,0.9920141969831411,0.9920141969831411
macro avg,0.9925026944743831,0.9925,0.9924999791666088,1127.0
weighted avg,0.9920170659886954,0.9920141969831411,0.9920141748002933,1127.0
